date,open,high,low,close,volume
1995-11-17,5.8813,6.3111,5.8587,6.2432,6452972
1995-11-20,6.2206,6.3789,5.9265,6.017,1526237
1995-11-21,5.9717,5.9944,5.7455,5.9039,1165391
1995-11-22,5.8813,6.1754,5.8813,6.0849,629894
1995-11-24,6.1301,6.3111,6.1075,6.3111,231487
1995-11-27,6.3111,6.4468,6.2432,6.3337,434890
1995-11-28,6.3337,6.3563,6.1527,6.2432,190879
1995-11-29,6.2206,6.4921,6.198,6.3337,240898
1995-11-30,6.4016,6.6504,6.379,6.5826,439019
1995-12-01,6.5826,6.6052,6.4695,6.5147,177055
1995-12-04,6.5373,6.5825,6.4016,6.4468,107491
1995-12-05,6.4468,6.4468,6.2432,6.3563,207888
1995-12-06,6.3337,6.5146,6.3337,6.3789,220049
1995-12-07,6.4242,6.4468,6.2885,6.3337,116033
1995-12-08,6.3111,6.4921,6.2432,6.4921,121028
1995-12-11,6.5147,6.5826,6.4921,6.5826,119436
1995-12-12,6.5373,6.5599,6.3111,6.3337,175824
1995-12-13,6.379,6.379,6.1754,6.2885,95621
1995-12-14,6.3111,6.3111,6.1075,6.1075,115672
1995-12-15,6.1527,6.1979,6.0396,6.0622,247265
1995-12-18,6.0622,6.0849,5.9717,5.9944,134201
1995-12-19,5.9718,6.1754,5.9492,6.1075,116468
1995-12-20,6.1301,6.2884,6.1301,6.2432,65219
1995-12-21,6.2207,6.3564,6.198,6.2885,54579
1995-12-22,6.3111,6.3337,6.2432,6.3337,37713
1995-12-26,6.3111,6.3111,6.1527,6.1754,43431
1995-12-27,6.2432,6.4016,6.2432,6.4016,63627
1995-12-28,6.4241,6.4468,6.3563,6.3789,62323
1995-12-29,6.3563,6.4016,6.2659,6.3111,39667
1996-01-02,6.3111,6.3564,6.2659,6.3337,30619
1996-01-03,6.3563,6.4694,6.2659,6.3111,123416
1996-01-04,6.3337,6.379,6.1754,6.2659,75064
1996-01-05,6.1754,6.2206,5.9944,6.1075,139993
1996-01-08,6.1074,6.1301,6.0622,6.1301,8831
1996-01-09,6.1527,6.1527,6.0622,6.0622,156350
1996-01-10,5.9944,6.0622,5.8813,5.9944,82953
1996-01-11,6.017,6.1979,6.017,6.1301,86427
1996-01-12,6.1075,6.2885,6.085,6.2885,61238
1996-01-15,6.2885,6.3337,6.2432,6.2659,105104
1996-01-16,6.2206,6.2206,5.9492,6.1075,92798
1996-01-17,6.017,6.0622,5.8812,6.0622,22873
1996-01-18,5.9944,6.0396,5.8134,5.9039,125949
1996-01-19,5.9039,5.9265,5.836,5.8587,143467
1996-01-22,5.8587,6.1301,5.8587,6.017,102931
1996-01-23,5.9717,5.9944,5.9039,5.9039,144480
1996-01-24,5.8813,5.9944,5.8813,5.9944,140499
1996-01-25,5.9718,6.198,5.9718,6.198,235832
1996-01-26,6.198,6.2207,6.1528,6.198,114876
1996-01-29,6.2206,6.2206,6.0623,6.1075,117988
1996-01-30,6.1075,6.8087,6.0622,6.6956,508648
1996-01-31,6.6503,6.8992,6.6051,6.673,205645
1996-02-01,6.6504,6.673,6.4016,6.5373,93521
1996-02-02,6.5825,6.7408,6.5825,6.6956,127108
1996-02-05,6.7409,6.854,6.6957,6.8088,136881
1996-02-06,6.8088,6.9218,6.7861,6.854,82374
1996-02-07,6.8992,7.1254,6.8766,7.0802,117770
1996-02-08,7.0575,7.1028,6.8992,6.9218,103438
1996-02-09,6.9671,6.9671,6.854,6.9445,94246
1996-02-12,6.8992,6.9218,6.6956,6.7635,112052
1996-02-13,6.6956,6.7183,6.6052,6.6504,36989
1996-02-14,6.673,6.8313,6.6278,6.6278,74195
1996-02-15,6.7183,6.8313,6.7183,6.7635,63120
1996-02-16,6.7635,6.7635,6.6278,6.6504,58343
1996-02-20,6.5599,6.6504,6.4694,6.5599,114586
1996-02-21,6.5825,6.673,6.5825,6.6051,90047
1996-02-22,6.6052,6.6052,6.3564,6.5826,214261
1996-02-23,6.6052,6.7636,6.5826,6.7409,96345
1996-02-26,6.7408,6.7635,6.6504,6.6956,65074
1996-02-27,6.7409,6.7861,6.6051,6.6278,315310
1996-02-28,6.6503,6.6956,6.6503,6.673,166774
1996-02-29,6.673,6.7861,6.6051,6.6278,147014
1996-03-01,6.7183,6.8992,6.673,6.854,109591
1996-03-04,6.8766,6.8766,6.7409,6.7861,117771
1996-03-05,6.7409,6.854,6.7183,6.8088,92509
1996-03-06,6.8314,6.854,6.7409,6.7409,80637
1996-03-07,6.7182,6.7635,6.6616,6.673,99095
1996-03-08,6.5599,6.6731,6.4016,6.5147,113139
