Date,Open,High,Low,Price,Vol.,Change %
11/01/2025,98.55,107.48,97.01,104.75,34.52M,5.68
10/01/2025,93.75,104.49,84.71,99.12,112.78M,5.03
09/01/2025,108.90,112.13,91.71,94.37,116.93M,-13.56
08/01/2025,113.18,118.06,108.61,109.17,62.93M,-3.86
07/01/2025,99.04,115.99,98.64,113.55,69.43M,14.65
06/01/2025,90.30,101.60,86.01,99.04,99.88M,9.73
05/01/2025,81.55,91.48,80.67,90.26,72.21M,10.38
04/01/2025,75.26,85.55,61.87,81.77,141.66M,8.92
03/01/2025,72.61,78.35,61.80,75.07,115.30M,3.03
02/01/2025,71.06,79.80,67.96,72.86,55.90M,-0.67
01/01/2025,75.63,78.39,67.64,73.35,54.87M,-2.12
12/01/2024,71.78,76.76,68.17,74.94,74.41M,5.15
11/01/2024,64.76,72.28,60.49,71.27,109.49M,10.26
10/01/2024,70.36,71.62,62.80,64.64,72.88M,-8.08
09/01/2024,84.49,85.21,60.81,70.32,142.25M,-16.77
08/01/2024,104.24,104.53,83.72,84.49,59.20M,-19.02
07/01/2024,106.87,109.36,101.83,104.34,53.20M,-2.28
06/01/2024,117.82,121.92,101.85,106.77,70.92M,-9.48
05/01/2024,119.68,123.17,112.35,117.95,49.33M,-0.25
04/01/2024,133.67,137.14,116.56,118.25,57.29M,-11.19
03/01/2024,145.98,151.21,124.01,133.15,82.77M,-9.22
02/01/2024,131.31,149.09,130.86,146.68,42.85M,12.3
01/01/2024,142.23,145.09,128.77,130.62,47.54M,-8.05
12/01/2023,123.44,142.90,122.82,142.05,43.87M,14.94
11/01/2023,111.20,124.21,108.92,123.59,51.34M,11.25
10/01/2023,106.40,115.89,102.77,111.09,48.23M,4.36
09/01/2023,122.69,122.69,103.94,106.45,49.72M,-13.0
08/01/2023,154.57,154.82,120.58,122.36,54.82M,-20.72
07/01/2023,143.50,154.96,143.17,154.33,33.82M,7.55
06/01/2023,132.99,146.99,128.85,143.5,52.77M,6.39
05/01/2023,153.71,161.10,129.26,134.88,54.56M,-12.25
04/01/2023,145.28,155.42,145.12,153.71,32.42M,7.08
03/01/2023,143.30,152.82,133.38,143.55,60.81M,-1.19
02/01/2023,150.00,157.95,139.66,145.28,39.23M,-3.26
01/01/2023,141.62,154.01,137.95,150.18,41.78M,6.18
12/01/2022,148.58,151.24,137.34,141.44,40.09M,-5.89
11/01/2022,159.02,170.36,143.86,150.29,55.19M,-5.18
10/01/2022,137.51,159.42,135.41,158.5,44.11M,16.46
09/01/2022,134.86,146.17,134.30,136.1,56.62M,0.31
08/01/2022,166.53,171.39,134.74,135.68,59.58M,-17.95
07/01/2022,154.00,175.68,152.30,165.36,41.63M,6.1
06/01/2022,160.41,163.36,147.77,155.85,42.87M,-2.79
05/01/2022,163.00,166.81,124.76,160.33,71.36M,-1.31
04/01/2022,161.20,177.19,154.00,162.45,42.53M,1.44
03/01/2022,141.72,162.13,131.88,160.15,62.27M,12.72
02/01/2022,130.91,146.22,129.31,142.08,41.68M,8.28
01/01/2022,140.52,144.46,123.62,131.22,56.40M,-6.62
12/01/2021,135.90,142.60,132.40,140.52,57.07M,5.0
11/01/2021,108.16,149.37,103.45,133.83,121.92M,24.19
10/01/2021,94.47,108.41,93.70,107.76,58.95M,12.58
09/01/2021,90.66,101.43,84.26,95.72,106.25M,5.72
08/01/2021,100.30,106.64,90.26,90.54,75.01M,-9.27
07/01/2021,100.18,100.82,97.40,99.79,36.75M,0.29
06/01/2021,97.99,102.62,97.37,99.5,70.08M,2.05
05/01/2021,115.61,117.50,97.15,97.5,40.61M,-15.14
04/01/2021,114.59,120.37,113.38,114.9,27.52M,0.38
03/01/2021,98.80,117.26,95.86,114.46,48.95M,16.56
02/01/2021,102.08,111.94,97.69,98.2,35.99M,-3.4
01/01/2021,107.63,115.45,99.62,101.66,35.61M,-5.91
