Date,Open,High,Low,Price,Vol.,Change %
11/01/2025,140.49,148.11,138.82,146.08,48.72M,4.24
10/01/2025,144.08,146.46,138.23,140.14,102.06M,-3.04
09/01/2025,136.20,144.83,136.20,144.54,99.14M,5.8
08/01/2025,124.11,145.58,123.78,136.61,116.26M,9.7
07/01/2025,123.67,127.13,119.84,124.53,101.11M,0.84
06/01/2025,126.25,129.07,119.90,123.49,105.18M,-2.69
05/01/2025,127.86,135.85,124.92,126.9,123.61M,-1.38
04/01/2025,121.44,131.30,116.37,128.68,145.38M,5.65
03/01/2025,124.43,125.99,112.10,121.8,114.91M,-2.37
02/01/2025,123.96,127.58,120.67,124.76,90.35M,-0.02
01/01/2025,121.71,126.48,117.89,124.79,87.14M,3.29
12/01/2024,126.39,127.91,120.30,120.81,109.71M,-3.88
11/01/2024,113.31,128.00,111.73,125.69,111.80M,11.2
10/01/2024,117.50,118.56,111.22,113.03,102.74M,-3.84
09/01/2024,117.86,120.75,115.40,117.54,86.56M,0.23
08/01/2024,113.79,121.13,107.71,117.27,125.38M,3.76
07/01/2024,110.66,115.35,109.56,113.02,95.75M,2.65
06/01/2024,103.70,111.79,103.70,110.1,115.05M,6.79
05/01/2024,93.56,104.98,93.39,103.1,156.60M,9.58
04/01/2024,101.05,101.16,92.35,94.09,110.75M,-7.23
03/01/2024,99.38,102.04,95.56,101.42,111.36M,2.3
02/01/2024,94.96,102.84,94.71,99.14,104.70M,4.46
01/01/2024,93.09,97.00,91.31,94.91,92.74M,1.17
12/01/2023,88.31,94.29,87.44,93.81,98.62M,6.47
11/01/2023,88.55,93.25,87.22,88.11,138.76M,0.05
10/01/2023,88.55,91.18,86.71,88.07,92.39M,-0.91
09/01/2023,92.50,93.78,87.46,88.88,101.02M,-3.89
08/01/2023,86.53,92.87,85.27,92.48,124.88M,6.88
07/01/2023,84.41,87.63,82.25,86.53,78.33M,2.05
06/01/2023,76.44,85.22,76.29,84.79,104.28M,10.42
05/01/2023,79.04,81.32,75.65,76.79,115.57M,-2.58
04/01/2023,78.09,79.71,76.23,78.82,77.07M,0.59
03/01/2023,76.11,78.79,72.92,78.36,112.62M,2.3
02/01/2023,81.99,82.77,76.20,76.6,112.69M,-6.43
01/01/2023,79.73,83.13,78.51,81.86,107.04M,2.84
12/01/2022,80.39,81.15,76.77,79.6,103.76M,-0.56
11/01/2022,72.56,81.17,69.93,80.05,132.97M,11.03
10/01/2022,63.03,73.01,61.81,72.1,104.68M,16.07
09/01/2022,62.44,67.80,59.78,62.12,102.16M,-0.37
08/01/2022,60.83,69.77,60.75,62.35,126.52M,1.95
07/01/2022,55.60,64.66,54.55,61.16,115.23M,9.51
06/01/2022,64.36,64.43,55.55,55.85,122.39M,-12.14
05/01/2022,61.68,64.84,53.69,63.57,198.13M,3.74
04/01/2022,60.72,68.29,59.47,61.28,131.87M,1.16
03/01/2022,66.16,67.58,57.92,60.58,194.46M,-8.35
02/01/2022,72.19,73.14,59.85,66.1,131.71M,-8.16
01/01/2022,75.83,77.35,65.85,71.97,133.44M,-5.2
12/01/2021,70.88,76.32,67.97,75.92,135.12M,9.39
11/01/2021,65.53,76.94,65.45,69.4,164.53M,5.97
10/01/2021,66.30,67.06,62.72,65.49,131.75M,-0.74
09/01/2021,73.16,73.39,65.79,65.98,132.57M,-9.27
08/01/2021,69.19,76.16,67.23,72.72,138.90M,5.68
07/01/2021,67.56,69.78,64.43,68.81,102.33M,2.06
06/01/2021,68.26,68.49,63.25,67.42,155.19M,-0.18
05/01/2021,71.49,74.65,66.32,67.54,147.33M,-4.87
04/01/2021,66.94,71.87,65.57,71.0,94.46M,7.33
03/01/2021,66.66,68.05,61.15,66.15,174.89M,0.24
02/01/2021,64.44,71.06,63.40,65.99,140.97M,3.04
01/01/2021,68.30,70.96,62.24,64.04,114.67M,-6.22
