Date,Price,Change %
11/17/1995,6.2432,
11/20/1995,6.017,-3.62
11/21/1995,5.9039,-1.88
11/22/1995,6.0849,3.07
11/24/1995,6.3111,3.72
11/27/1995,6.3337,0.36
11/28/1995,6.2432,-1.43
11/29/1995,6.3337,1.45
11/30/1995,6.5826,3.93
12/01/1995,6.5147,-1.03
12/04/1995,6.4468,-1.04
12/05/1995,6.3563,-1.4
12/06/1995,6.3789,0.36
12/07/1995,6.3337,-0.71
12/08/1995,6.4921,2.5
12/11/1995,6.5826,1.39
12/12/1995,6.3337,-3.78
12/13/1995,6.2885,-0.71
12/14/1995,6.1075,-2.88
12/15/1995,6.0622,-0.74
12/18/1995,5.9944,-1.12
12/19/1995,6.1075,1.89
12/20/1995,6.2432,2.22
12/21/1995,6.2885,0.73
12/22/1995,6.3337,0.72
12/26/1995,6.1754,-2.5
12/27/1995,6.4016,3.66
12/28/1995,6.3789,-0.35
12/29/1995,6.3111,-1.06
01/02/1996,6.3337,0.36
01/03/1996,6.3111,-0.36
01/04/1996,6.2659,-0.72
01/05/1996,6.1075,-2.53
01/08/1996,6.1301,0.37
01/09/1996,6.0622,-1.11
01/10/1996,5.9944,-1.12
01/11/1996,6.1301,2.26
01/12/1996,6.2885,2.58
01/15/1996,6.2659,-0.36
01/16/1996,6.1075,-2.53
01/17/1996,6.0622,-0.74
01/18/1996,5.9039,-2.61
01/19/1996,5.8587,-0.77
01/22/1996,6.017,2.7
01/23/1996,5.9039,-1.88
01/24/1996,5.9944,1.53
01/25/1996,6.198,3.4
01/26/1996,6.198,0.0
01/29/1996,6.1075,-1.46
01/30/1996,6.6956,9.63
01/31/1996,6.673,-0.34
02/01/1996,6.5373,-2.03
02/02/1996,6.6956,2.42
02/05/1996,6.8088,1.69
02/06/1996,6.854,0.66
02/07/1996,7.0802,3.3
02/08/1996,6.9218,-2.24
02/09/1996,6.9445,0.33
02/12/1996,6.7635,-2.61
02/13/1996,6.6504,-1.67
02/14/1996,6.6278,-0.34
02/15/1996,6.7635,2.05
02/16/1996,6.6504,-1.67
02/20/1996,6.5599,-1.36
02/21/1996,6.6051,0.69
02/22/1996,6.5826,-0.34
02/23/1996,6.7409,2.4
02/26/1996,6.6956,-0.67
02/27/1996,6.6278,-1.01
02/28/1996,6.673,0.68
02/29/1996,6.6278,-0.68
03/01/1996,6.854,3.41
03/04/1996,6.7861,-0.99
03/05/1996,6.8088,0.33
03/06/1996,6.7409,-1.0
03/07/1996,6.673,-1.01
03/08/1996,6.5147,-2.37
03/11/1996,6.4242,-1.39
03/12/1996,6.2659,-2.46
03/13/1996,6.4627,3.14
03/14/1996,6.4627,0.0
03/15/1996,6.3266,-2.11
03/18/1996,6.508,2.87
03/19/1996,6.4627,-0.7
03/20/1996,6.3266,-2.11
03/21/1996,6.2813,-0.72
03/22/1996,6.2813,0.0
03/25/1996,6.372,1.44
03/26/1996,6.5307,2.49
03/27/1996,6.5988,1.04
03/28/1996,6.5988,0.0
03/29/1996,6.4853,-1.72
04/01/1996,6.5988,1.75
04/02/1996,6.4627,-2.06
04/03/1996,6.372,-1.4
04/04/1996,6.372,0.0
04/08/1996,6.3039,-1.07
04/09/1996,6.3039,0.0
04/10/1996,6.2813,-0.36
04/11/1996,6.2813,0.0
04/12/1996,6.3493,1.08
04/15/1996,6.4173,1.07
04/16/1996,6.44,0.35
04/17/1996,6.2586,-2.82
04/18/1996,6.1225,-2.17
04/19/1996,6.2359,1.85
04/22/1996,6.2813,0.73
04/23/1996,6.1679,-1.81
04/24/1996,6.0318,-2.21
04/25/1996,6.0545,0.38
04/26/1996,6.8255,12.73
04/29/1996,6.8935,1.0
04/30/1996,6.6441,-3.62
05/01/1996,6.6214,-0.34
05/02/1996,6.6441,0.34
05/03/1996,6.6214,-0.34
05/06/1996,6.6441,0.34
05/07/1996,6.5988,-0.68
05/08/1996,6.6895,1.37
05/09/1996,6.7574,1.02
05/10/1996,6.7348,-0.33
05/13/1996,6.6895,-0.67
05/14/1996,6.6214,-1.02
05/15/1996,6.5307,-1.37
05/16/1996,6.8709,5.21
05/17/1996,6.8709,0.0
05/20/1996,6.8255,-0.66
05/21/1996,6.6441,-2.66
05/22/1996,6.5988,-0.68
05/23/1996,6.576,-0.35
05/24/1996,6.6214,0.69
05/28/1996,6.8482,3.43
05/29/1996,6.8255,-0.33
05/30/1996,6.9616,1.99
05/31/1996,6.8935,-0.98
06/03/1996,6.8482,-0.66
06/04/1996,6.8482,0.0
06/05/1996,7.1656,4.63
06/06/1996,7.2563,1.27
06/07/1996,7.2563,0.0
06/10/1996,7.211,-0.62
06/11/1996,7.3244,1.57
06/12/1996,7.408,1.14
06/13/1996,7.3853,-0.31
06/14/1996,7.2716,-1.54
06/17/1996,6.8854,-5.31
06/18/1996,6.8854,0.0
06/19/1996,6.8626,-0.33
06/20/1996,6.8854,0.33
06/21/1996,7.0898,2.97
06/24/1996,7.0898,0.0
06/25/1996,7.2489,2.24
06/26/1996,7.4534,2.82
06/27/1996,7.658,2.75
06/28/1996,7.6807,0.3
07/01/1996,7.7716,1.18
07/02/1996,7.7261,-0.59
07/03/1996,7.5898,-1.76
07/05/1996,7.6125,0.3
07/08/1996,7.5216,-1.19
07/09/1996,7.5898,0.91
07/10/1996,7.5216,-0.9
07/11/1996,7.2035,-4.23
07/12/1996,7.0898,-1.58
07/15/1996,6.6808,-5.77
07/16/1996,6.8626,2.72
07/17/1996,6.7945,-0.99
07/18/1996,7.1126,4.68
07/19/1996,7.0444,-0.96
07/22/1996,7.1126,0.97
07/23/1996,7.0898,-0.32
07/24/1996,6.8399,-3.52
07/25/1996,6.9308,1.33
07/26/1996,6.9535,0.33
07/29/1996,6.908,-0.65
07/30/1996,7.0217,1.65
07/31/1996,6.9989,-0.32
08/01/1996,7.1353,1.95
08/02/1996,6.9763,-2.23
08/05/1996,6.9535,-0.33
08/06/1996,6.9763,0.33
08/07/1996,6.9763,0.0
08/08/1996,6.9535,-0.33
08/09/1996,6.908,-0.65
08/12/1996,6.9989,1.32
08/13/1996,7.3171,4.55
08/14/1996,7.408,1.24
08/15/1996,7.7261,4.29
08/16/1996,7.5671,-2.06
08/19/1996,7.7261,2.1
08/20/1996,7.9761,3.24
08/21/1996,7.8398,-1.71
08/22/1996,7.817,-0.29
08/23/1996,7.7716,-0.58
08/26/1996,7.7943,0.29
08/27/1996,7.817,0.29
08/28/1996,7.9533,1.74
08/29/1996,7.8852,-0.86
08/30/1996,7.817,-0.86
09/03/1996,7.6807,-1.74
09/04/1996,7.6352,-0.59
09/05/1996,7.7489,1.49
09/06/1996,8.0442,3.81
09/09/1996,8.4987,5.65
09/10/1996,8.3624,-1.6
09/11/1996,7.9909,-4.44
09/12/1996,7.9225,-0.86
09/13/1996,7.877,-0.57
09/16/1996,7.7632,-1.44
09/17/1996,7.8087,0.59
09/18/1996,7.7177,-1.17
09/19/1996,7.6493,-0.89
09/20/1996,7.6949,0.6
09/23/1996,7.6721,-0.3
09/24/1996,7.9681,3.86
09/25/1996,7.877,-1.14
09/26/1996,7.9225,0.58
09/27/1996,8.173,3.16
09/30/1996,8.173,0.0
10/01/1996,8.0136,-1.95
10/02/1996,8.0136,0.0
10/03/1996,8.0364,0.28
10/04/1996,8.173,1.7
10/07/1996,8.0136,-1.95
10/08/1996,8.0819,0.85
10/09/1996,7.8087,-3.38
10/10/1996,7.9453,1.75
10/11/1996,8.0364,1.15
10/14/1996,8.1957,1.98
10/15/1996,8.1957,0.0
10/16/1996,8.1957,0.0
10/17/1996,8.173,-0.28
10/18/1996,8.2185,0.56
10/21/1996,8.173,-0.55
10/22/1996,8.1502,-0.28
10/23/1996,8.0136,-1.68
10/24/1996,8.0591,0.57
10/25/1996,8.0591,0.0
10/28/1996,8.1047,0.57
10/29/1996,7.9909,-1.4
10/30/1996,7.8087,-2.28
10/31/1996,7.8315,0.29
11/01/1996,7.9681,1.74
11/04/1996,7.9225,-0.57
11/05/1996,7.9909,0.86
11/06/1996,8.2185,2.85
11/07/1996,8.4462,2.77
11/08/1996,8.4917,0.54
11/11/1996,8.4917,0.0
11/12/1996,8.4462,-0.54
11/13/1996,8.5144,0.81
11/14/1996,8.5373,0.27
11/15/1996,8.4462,-1.07
11/18/1996,8.7421,3.5
11/19/1996,9.1747,4.95
11/20/1996,8.7421,-4.72
11/21/1996,9.1519,4.69
11/22/1996,9.1064,-0.5
11/25/1996,9.0836,-0.25
11/26/1996,8.9698,-1.25
11/27/1996,9.1064,1.52
11/29/1996,9.1064,0.0
12/02/1996,8.9926,-1.25
12/03/1996,8.9926,0.0
12/04/1996,8.856,-1.52
12/05/1996,8.7421,-1.29
12/06/1996,8.6966,-0.52
12/09/1996,8.8332,1.57
12/10/1996,8.856,0.26
12/11/1996,8.7421,-1.29
12/12/1996,8.8717,1.48
12/13/1996,8.7576,-1.29
12/16/1996,8.7348,-0.26
12/17/1996,8.5296,-2.35
12/18/1996,8.6892,1.87
12/19/1996,8.6664,-0.26
12/20/1996,8.6892,0.26
12/23/1996,8.4383,-2.89
12/24/1996,8.4156,-0.27
12/26/1996,8.5524,1.63
12/27/1996,8.6436,1.07
12/30/1996,8.8488,2.37
12/31/1996,9.2822,4.9
01/02/1997,9.1225,-1.72
01/03/1997,9.0997,-0.25
01/06/1997,8.9401,-1.75
01/07/1997,9.0313,1.02
01/08/1997,8.8488,-2.02
01/09/1997,8.9173,0.77
01/10/1997,8.8945,-0.26
01/13/1997,8.8945,0.0
01/14/1997,8.9629,0.77
01/15/1997,8.7805,-2.04
01/16/1997,8.7348,-0.52
01/17/1997,8.9401,2.35
01/20/1997,8.9629,0.26
01/21/1997,9.191,2.54
01/22/1997,9.533,3.72
01/23/1997,9.2822,-2.63
01/24/1997,9.3506,0.74
01/27/1997,9.191,-1.71
01/28/1997,8.9629,-2.48
01/29/1997,9.0313,0.76
01/30/1997,8.8261,-2.27
01/31/1997,8.7348,-1.03
02/03/1997,8.598,-1.57
02/04/1997,8.5752,-0.27
02/05/1997,8.6664,1.06
02/06/1997,8.7576,1.05
02/07/1997,8.6892,-0.78
02/10/1997,8.6436,-0.52
02/11/1997,8.598,-0.53
02/12/1997,8.5524,-0.53
02/13/1997,8.5524,0.0
02/14/1997,8.5752,0.27
02/18/1997,8.6208,0.53
02/19/1997,8.712,1.06
02/20/1997,8.6664,-0.52
02/21/1997,8.6664,0.0
02/24/1997,8.8032,1.58
02/25/1997,8.7576,-0.52
02/26/1997,8.6664,-1.04
02/27/1997,8.4156,-2.89
02/28/1997,8.4839,0.81
03/03/1997,8.5752,1.08
03/04/1997,8.4383,-1.6
03/05/1997,8.6664,2.7
03/06/1997,8.7805,1.32
03/07/1997,8.8945,1.3
03/10/1997,9.0541,1.79
03/11/1997,9.0313,-0.25
03/12/1997,8.9783,-0.59
03/13/1997,9.0697,1.02
03/14/1997,9.1611,1.01
03/17/1997,9.1839,0.25
03/18/1997,9.1382,-0.5
03/19/1997,9.2753,1.5
03/20/1997,9.1382,-1.48
03/21/1997,9.0697,-0.75
03/24/1997,8.9098,-1.76
03/25/1997,9.1382,2.56
03/26/1997,8.9326,-2.25
03/27/1997,8.9783,0.51
03/31/1997,8.8413,-1.53
04/01/1997,8.8641,0.26
04/02/1997,8.9098,0.52
04/03/1997,8.5671,-3.85
04/04/1997,8.6585,1.07
04/07/1997,8.727,0.79
04/08/1997,8.6813,-0.52
04/09/1997,8.727,0.53
04/10/1997,8.3158,-4.71
04/11/1997,8.3615,0.55
04/14/1997,7.8817,-5.74
04/15/1997,7.7218,-2.03
04/16/1997,7.9502,2.96
04/17/1997,7.8817,-0.86
04/18/1997,7.6076,-3.48
04/21/1997,7.4476,-2.1
04/22/1997,7.7447,3.99
04/23/1997,7.699,-0.59
04/24/1997,7.6304,-0.89
04/25/1997,7.8132,2.4
04/28/1997,8.0188,2.63
04/29/1997,8.2244,2.56
04/30/1997,8.3615,1.67
05/01/1997,8.5899,2.73
05/02/1997,8.7727,2.13
05/05/1997,8.8184,0.52
05/06/1997,8.7727,-0.52
05/07/1997,8.7499,-0.26
05/08/1997,8.8184,0.78
05/09/1997,9.024,2.33
05/12/1997,9.0468,0.25
05/13/1997,9.0468,0.0
05/14/1997,8.8641,-2.02
05/15/1997,8.9326,0.77
05/16/1997,8.9326,0.0
05/19/1997,8.9326,0.0
05/20/1997,8.9783,0.51
05/21/1997,8.9098,-0.76
