Date,Open,High,Low,Price,Change %
10/01/2025,12.38,12.62,9.94,10.21,
09/01/2025,14.30,14.60,12.39,12.56,23.02
08/01/2025,13.52,19.62,12.82,14.3,13.85
07/01/2025,9.74,15.16,9.42,13.62,-4.76
06/01/2025,5.63,11.36,5.61,9.76,-28.34
05/01/2025,5.80,6.78,5.63,5.7,-41.6
04/01/2025,6.50,7.02,4.31,5.8,1.75
03/01/2025,5.70,6.46,5.64,6.26,7.93
02/01/2025,5.42,5.85,5.20,5.74,-8.31
01/01/2025,4.99,5.57,4.93,5.4,-5.92
12/01/2024,4.84,5.38,4.74,4.98,-7.78
11/01/2024,4.78,4.95,4.65,4.82,-3.21
10/01/2024,4.68,4.95,4.67,4.82,0.0
09/01/2024,4.16,4.41,4.01,4.32,-10.37
08/01/2024,4.47,4.47,3.95,4.16,-3.7
07/01/2024,4.29,4.70,4.22,4.43,6.49
06/01/2024,4.96,5.05,4.23,4.27,-3.61
05/01/2024,4.90,5.18,4.56,4.87,14.05
04/01/2024,4.70,4.98,4.30,4.9,0.62
03/01/2024,4.00,4.81,4.00,4.57,-6.73
02/01/2024,4.00,4.08,3.91,4.01,-12.25
01/01/2024,3.90,4.10,3.87,4.04,0.75
12/01/2023,3.91,3.95,3.77,3.9,-3.47
11/01/2023,3.72,4.00,3.70,3.91,0.26
10/01/2023,3.74,3.75,3.63,3.72,-4.86
09/01/2023,3.90,4.10,3.72,3.79,1.88
08/01/2023,3.76,4.10,3.58,3.9,2.9
07/01/2023,3.81,3.90,3.43,3.76,-3.59
06/01/2023,4.00,4.00,3.82,3.84,2.13
05/01/2023,4.68,4.83,3.86,4.04,5.21
04/01/2023,4.20,4.75,3.99,4.52,11.88
03/01/2023,2.73,4.28,2.64,4.22,-6.64
02/01/2023,2.80,2.88,2.65,2.72,-35.55
01/01/2023,2.76,2.89,2.62,2.76,1.47
12/01/2022,2.75,2.85,2.57,2.78,0.72
11/01/2022,2.65,2.75,2.55,2.75,-1.08
10/01/2022,2.71,2.72,2.60,2.6,-5.45
09/01/2022,3.06,3.09,2.79,2.79,7.31
08/01/2022,2.29,3.06,2.28,3.06,9.68
07/01/2022,2.38,2.47,2.27,2.41,-21.24
06/01/2022,2.40,2.54,2.10,2.38,-1.24
05/01/2022,2.63,2.63,2.40,2.47,3.78
04/01/2022,2.49,2.63,2.47,2.61,5.67
03/01/2022,2.61,2.65,2.01,2.47,-5.36
02/01/2022,2.83,2.90,2.52,2.6,5.26
01/01/2022,2.80,2.80,2.70,2.8,7.69
12/01/2021,2.86,2.87,2.61,2.8,0.0
11/01/2021,2.86,3.00,2.70,2.85,1.79
10/01/2021,2.85,2.89,2.81,2.82,-1.05
09/01/2021,2.91,2.93,2.65,2.64,-6.38
08/01/2021,3.04,3.15,2.85,2.91,10.23
07/01/2021,3.06,3.13,3.00,3.04,4.47
06/01/2021,2.88,3.10,2.70,3.03,-0.33
05/01/2021,3.10,3.30,2.84,2.85,-5.94
04/01/2021,3.01,3.52,3.01,3.15,10.53
03/01/2021,3.23,3.28,2.83,3.01,-4.44
02/01/2021,3.03,3.43,2.96,3.18,5.65
01/01/2021,2.82,3.25,2.70,3.02,-5.03
