"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","230.40","268.40","291.40","222.00","322.71M","-13.64%"
"09/01/2025","266.80","318.20","319.40","251.60","347.00M","-17.25%"
"08/01/2025","322.40","245.60","339.80","235.40","223.73M","31.06%"
"07/01/2025","246.00","268.00","272.00","239.80","243.76M","-7.73%"
"06/01/2025","266.60","223.60","283.40","222.20","368.26M","20.96%"
"05/01/2025","220.40","191.10","235.00","176.80","232.98M","13.73%"
"04/01/2025","193.80","156.50","199.00","118.80","334.94M","23.83%"
"03/01/2025","156.50","104.20","160.00","103.90","249.61M","50.19%"
"02/01/2025","104.20","93.15","114.50","91.00","139.57M","10.85%"
"01/01/2025","94.00","89.80","96.00","79.50","126.05M","4.85%"
"12/01/2024","89.65","89.95","96.90","82.35","129.27M","-0.22%"
"11/01/2024","89.85","70.00","92.20","67.50","170.75M","27.45%"
"10/01/2024","70.50","56.95","78.00","52.50","261.58M","32.39%"
"09/01/2024","53.25","46.00","55.00","45.35","113.76M","16.14%"
"08/01/2024","45.85","41.50","48.25","36.50","150.07M","10.62%"
"07/01/2024","41.45","38.25","42.30","34.40","115.26M","8.37%"
"06/01/2024","38.25","37.45","40.85","35.95","102.74M","3.10%"
"05/01/2024","37.10","33.35","38.45","33.25","151.69M","9.44%"
"04/01/2024","33.90","29.20","35.50","28.20","189.00M","17.91%"
"03/01/2024","28.75","19.56","29.20","19.48","159.31M","46.83%"
"02/01/2024","19.58","17.52","20.50","16.90","59.77M","11.76%"
"01/01/2024","17.52","20.00","20.60","16.98","103.91M","-13.48%"
"12/01/2023","20.25","22.85","23.45","18.70","78.41M","-13.65%"
"11/01/2023","23.45","21.55","25.20","21.15","76.33M","8.82%"
"10/01/2023","21.55","23.05","25.00","21.20","79.63M","-6.91%"
"09/01/2023","23.15","25.60","26.60","22.50","96.21M","-9.22%"
"08/01/2023","25.50","21.70","26.90","20.20","156.51M","16.17%"
"07/01/2023","21.95","17.66","23.15","16.68","147.55M","26.00%"
"06/01/2023","17.42","17.20","18.96","16.22","101.83M","1.28%"
"05/01/2023","17.20","19.18","20.30","16.10","96.62M","-9.19%"
"04/01/2023","18.94","21.60","21.75","17.08","89.18M","-11.50%"
"03/01/2023","21.40","22.05","24.55","17.82","183.41M","-1.83%"
"02/01/2023","21.80","25.50","27.40","20.55","134.10M","-14.00%"
"01/01/2023","25.35","19.70","28.00","19.36","167.07M","27.90%"
"12/01/2022","19.82","18.00","22.65","16.60","254.39M","14.30%"
"11/01/2022","17.34","10.30","17.34","10.14","249.40M","70.67%"
"10/01/2022","10.16","14.44","16.72","9.95","203.95M","-29.64%"
"09/01/2022","14.44","20.40","20.85","14.26","127.09M","-29.39%"
"08/01/2022","20.45","17.88","20.80","16.90","191.69M","13.61%"
"07/01/2022","18.00","37.90","38.85","17.56","319.42M","-52.51%"
"06/01/2022","37.90","30.60","39.95","30.50","172.90M","25.29%"
"05/01/2022","30.25","36.20","37.05","27.85","210.55M","-16.44%"
"04/01/2022","36.20","33.40","38.40","30.65","111.42M","5.23%"
"03/01/2022","34.40","39.15","42.35","27.45","207.80M","-12.13%"
"02/01/2022","39.15","39.00","42.80","34.35","97.03M","1.82%"
"01/01/2022","38.45","44.70","49.40","37.10","137.04M","-13.98%"
"12/01/2021","44.70","53.35","55.80","40.85","89.41M","-17.07%"
"11/01/2021","53.90","45.95","61.50","45.30","208.55M","17.30%"
"10/01/2021","45.95","53.25","57.00","45.15","67.30M","-13.71%"
"09/01/2021","53.25","58.75","63.65","51.60","99.53M","-9.36%"
"08/01/2021","58.75","57.20","60.50","50.00","137.82M","3.25%"
"07/01/2021","56.90","77.00","77.25","54.55","82.27M","-26.10%"
"06/01/2021","77.00","69.50","78.15","60.80","85.96M","10.79%"
"05/01/2021","69.50","64.45","70.90","54.60","47.74M","8.09%"
"04/01/2021","64.30","59.35","70.80","56.60","64.34M","8.34%"
"03/01/2021","59.35","93.05","99.90","46.65","170.84M","-33.98%"
"02/01/2021","89.90","73.60","107.60","72.50","68.90M","21.49%"
"01/01/2021","74.00","81.30","88.50","72.80","92.36M","-9.04%"
