"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","86.09","84.53","87.26","78.42","160.89M","1.76%"
"09/01/2025","84.60","87.83","89.99","81.20","194.29M","-4.07%"
"08/01/2025","88.19","88.39","94.85","85.49","180.58M","-1.09%"
"07/01/2025","89.16","91.54","98.89","88.43","226.94M","-2.70%"
"06/01/2025","91.63","83.28","95.91","83.19","179.24M","9.15%"
"05/01/2025","83.95","80.71","87.78","80.20","235.70M","4.87%"
"04/01/2025","80.05","97.85","99.75","75.50","297.97M","-18.39%"
"03/01/2025","98.09","116.04","117.46","94.58","208.24M","-15.30%"
"02/01/2025","115.81","105.72","116.09","105.52","179.70M","7.55%"
"01/01/2025","107.68","91.55","110.34","91.38","205.26M","18.01%"
"12/01/2024","91.25","102.00","102.21","86.30","186.52M","-10.94%"
"11/01/2024","102.46","97.60","103.32","94.78","147.16M","4.87%"
"10/01/2024","97.70","97.49","99.42","93.69","167.96M","0.22%"
"09/01/2024","97.49","94.13","99.51","90.18","198.22M","3.09%"
"08/01/2024","94.57","77.89","98.72","72.72","446.26M","21.32%"
"07/01/2024","77.95","77.99","81.24","71.55","280.39M","0.13%"
"06/01/2024","77.85","79.68","83.43","77.61","217.04M","-2.95%"
"05/01/2024","80.22","75.82","81.02","71.80","376.78M","-9.35%"
"04/01/2024","88.49","91.82","92.07","84.29","177.99M","-3.17%"
"03/01/2024","91.39","94.45","94.57","90.06","152.27M","-3.70%"
"02/01/2024","94.90","93.10","97.99","91.67","172.42M","2.01%"
"01/01/2024","93.03","95.45","98.36","91.40","199.11M","-3.10%"
"12/01/2023","96.01","98.50","99.28","94.34","166.01M","-3.31%"
"11/01/2023","99.30","91.83","107.66","90.55","186.22M","7.65%"
"10/01/2023","92.24","91.05","95.66","89.21","127.99M","1.06%"
"09/01/2023","91.27","98.40","98.75","90.21","113.13M","-6.33%"
"08/01/2023","97.44","101.47","104.46","93.71","127.10M","-4.07%"
"07/01/2023","101.57","98.73","103.77","95.55","131.34M","2.53%"
"06/01/2023","99.06","97.59","102.51","96.52","151.11M","1.45%"
"05/01/2023","97.64","114.25","115.48","96.98","157.24M","-14.57%"
"04/01/2023","114.29","104.06","114.31","103.07","96.63M","9.76%"
"03/01/2023","104.13","102.19","105.94","97.19","132.25M","2.00%"
"02/01/2023","102.09","108.97","110.83","100.82","123.06M","-6.46%"
"01/01/2023","109.14","100.56","109.76","99.47","128.34M","10.02%"
"12/01/2022","99.20","102.33","105.54","96.17","130.72M","-2.94%"
"11/01/2022","102.20","88.06","102.56","82.97","162.11M","18.03%"
"10/01/2022","86.59","84.75","90.90","82.43","158.24M","2.77%"
"09/01/2022","84.26","83.70","93.48","81.67","203.64M","0.23%"
"08/01/2022","84.07","84.19","89.93","82.69","129.84M","-0.84%"
"07/01/2022","84.78","76.73","84.98","75.73","118.10M","10.98%"
"06/01/2022","76.39","78.75","81.30","70.35","181.51M","-2.69%"
"05/01/2022","78.50","75.25","82.87","68.39","291.83M","5.17%"
"04/01/2022","74.64","91.50","91.89","74.48","195.08M","-17.95%"
"03/01/2022","90.97","91.49","93.50","78.92","250.08M","-0.89%"
"02/01/2022","91.79","98.42","99.15","87.25","161.93M","-6.64%"
"01/01/2022","98.32","116.47","117.80","93.79","218.71M","-15.94%"
"12/01/2021","116.97","110.96","117.48","106.61","136.73M","6.69%"
"11/01/2021","109.64","107.22","117.47","107.20","161.74M","3.37%"
"10/01/2021","106.07","110.89","115.57","104.02","133.50M","-3.84%"
"09/01/2021","110.31","118.01","120.76","110.31","116.00M","-6.11%"
"08/01/2021","117.49","122.03","122.98","113.61","114.46M","-3.24%"
"07/01/2021","121.43","111.95","126.32","111.81","123.99M","8.60%"
"06/01/2021","111.81","114.56","114.62","109.26","106.40M","-1.82%"
"05/01/2021","113.88","115.18","116.74","108.88","113.79M","-0.53%"
"04/01/2021","114.49","110.06","118.98","108.20","127.02M","4.78%"
"03/01/2021","109.27","108.60","112.34","102.75","163.16M","1.15%"
"02/01/2021","108.03","96.99","109.48","96.92","115.47M","11.59%"
"01/01/2021","96.81","107.66","107.75","95.92","123.90M","-9.51%"
