"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2025","77.75","78.36","80.96","74.35","5.36M","-0.74%"
"10/01/2025","78.33","83.89","87.32","76.36","15.04M","-6.49%"
"09/01/2025","83.77","83.41","89.79","80.97","24.60M","-0.65%"
"08/01/2025","84.32","71.86","86.31","69.63","24.36M","14.85%"
"07/01/2025","73.42","68.44","78.98","68.12","25.93M","7.03%"
"06/01/2025","68.60","83.89","83.89","61.72","49.85M","-18.11%"
"05/01/2025","83.77","69.36","87.93","68.40","25.98M","21.44%"
"04/01/2025","68.98","75.14","78.53","59.28","40.08M","6.71%"
"03/01/2025","64.64","76.01","76.72","62.91","29.40M","-13.63%"
"02/01/2025","74.84","84.25","85.59","74.32","18.77M","-16.47%"
"01/01/2025","89.60","106.59","109.88","88.60","19.86M","-15.27%"
"12/01/2024","105.75","108.57","113.47","102.57","19.25M","-2.42%"
"11/01/2024","108.37","98.77","109.60","95.93","12.56M","10.07%"
"10/01/2024","98.46","100.24","101.35","91.94","14.85M","-2.35%"
"09/01/2024","100.83","97.86","101.18","90.17","16.03M","2.17%"
"08/01/2024","98.69","102.50","107.36","89.56","17.41M","-3.24%"
"07/01/2024","101.99","106.37","110.44","95.08","17.98M","-3.66%"
"06/01/2024","105.87","121.19","124.68","104.61","18.69M","-11.78%"
"05/01/2024","120.01","108.48","120.08","107.57","13.88M","10.30%"
"04/01/2024","108.80","140.16","141.15","104.72","33.44M","-22.62%"
"03/01/2024","140.61","137.10","140.75","128.18","16.98M","2.88%"
"02/01/2024","136.67","121.53","139.18","118.47","12.36M","13.65%"
"01/01/2024","120.26","120.96","126.30","115.48","18.00M","-1.52%"
"12/01/2023","122.12","97.00","123.90","96.07","22.51M","24.89%"
"11/01/2023","97.78","73.55","99.05","71.32","20.02M","31.51%"
"10/01/2023","74.35","76.26","77.20","69.27","18.27M","-2.82%"
"09/01/2023","76.51","84.12","84.12","72.70","15.01M","-8.48%"
"08/01/2023","83.60","88.98","89.77","77.74","19.96M","-6.74%"
"07/01/2023","89.64","85.10","93.01","81.47","16.09M","5.50%"
"06/01/2023","84.97","81.00","86.43","75.58","24.47M","-1.22%"
"05/01/2023","86.02","85.36","89.70","79.50","19.34M","0.24%"
"04/01/2023","85.81","89.51","90.65","82.00","15.68M","-3.76%"
"03/01/2023","89.16","80.30","91.07","69.37","29.09M","11.12%"
"02/01/2023","80.24","90.02","94.51","78.20","17.27M","-10.75%"
"01/01/2023","89.90","71.98","90.64","70.78","19.88M","27.36%"
"12/01/2022","70.59","74.33","77.76","67.36","24.51M","5.08%"
"11/01/2022","67.18","52.95","67.50","48.40","21.31M","30.90%"
"10/01/2022","51.32","45.89","53.98","44.78","22.10M","14.55%"
"09/01/2022","44.80","55.75","62.69","43.49","46.70M","-20.36%"
"08/01/2022","56.25","61.61","71.35","56.21","25.01M","-9.16%"
"07/01/2022","61.92","56.49","63.56","54.57","21.79M","8.82%"
"06/01/2022","56.90","72.37","74.37","55.54","32.37M","-19.71%"
"05/01/2022","70.87","73.00","75.58","60.35","38.35M","-2.62%"
"04/01/2022","72.78","77.49","83.40","69.14","32.45M","-5.00%"
"03/01/2022","76.61","97.32","97.71","66.10","43.21M","-21.74%"
"02/01/2022","97.89","95.23","105.43","93.65","20.75M","3.03%"
"01/01/2022","95.01","107.79","113.78","89.54","26.03M","-10.91%"
"12/01/2021","106.65","110.57","113.69","91.93","22.83M","-0.12%"
"11/01/2021","106.78","109.81","125.42","104.48","16.08M","-2.33%"
"10/01/2021","109.33","104.67","114.78","102.60","16.18M","6.36%"
"09/01/2021","102.79","118.84","121.94","102.58","23.92M","-1.91%"
"08/01/2021","104.79","105.92","116.69","102.35","21.63M","0.16%"
"07/01/2021","104.62","108.82","110.65","92.46","17.93M","-2.76%"
"06/01/2021","107.59","115.75","116.45","101.42","22.03M","-6.30%"
"05/01/2021","114.82","114.32","121.18","105.44","15.35M","1.45%"
"04/01/2021","113.18","105.00","116.00","99.57","23.19M","7.08%"
"03/01/2021","105.70","102.27","110.89","91.49","22.63M","5.74%"
"02/01/2021","99.96","82.67","104.29","78.76","19.80M","17.24%"
"01/01/2021","85.26","97.34","108.84","84.41","19.16M","-9.19%"
