Date,Open,High,Low,Price,Vol.,Change %
11/01/2025,78.36,80.96,74.35,77.75,5.36M,-0.74%
10/01/2025,83.89,87.32,76.36,78.33,15.04M,-6.49%
09/01/2025,83.41,89.79,80.97,83.77,24.60M,-0.65%
08/01/2025,71.86,86.31,69.63,84.32,24.36M,14.85%
07/01/2025,68.44,78.98,68.12,73.42,25.93M,7.03%
06/01/2025,83.89,83.89,61.72,68.6,49.85M,-18.11%
05/01/2025,69.36,87.93,68.40,83.77,25.98M,21.44%
04/01/2025,75.14,78.53,59.28,68.98,40.08M,6.71%
03/01/2025,76.01,76.72,62.91,64.64,29.40M,-13.63%
02/01/2025,84.25,85.59,74.32,74.84,18.77M,-16.47%
01/01/2025,106.59,109.88,88.60,89.6,19.86M,-15.27%
12/01/2024,108.57,113.47,102.57,105.75,19.25M,-2.42%
11/01/2024,98.77,109.60,95.93,108.37,12.56M,10.07%
10/01/2024,100.24,101.35,91.94,98.46,14.85M,-2.35%
09/01/2024,97.86,101.18,90.17,100.83,16.03M,2.17%
08/01/2024,102.50,107.36,89.56,98.69,17.41M,-3.24%
07/01/2024,106.37,110.44,95.08,101.99,17.98M,-3.66%
06/01/2024,121.19,124.68,104.61,105.87,18.69M,-11.78%
05/01/2024,108.48,120.08,107.57,120.01,13.88M,10.30%
04/01/2024,140.16,141.15,104.72,108.8,33.44M,-22.62%
03/01/2024,137.10,140.75,128.18,140.61,16.98M,2.88%
02/01/2024,121.53,139.18,118.47,136.67,12.36M,13.65%
01/01/2024,120.96,126.30,115.48,120.26,18.00M,-1.52%
12/01/2023,97.00,123.90,96.07,122.12,22.51M,24.89%
11/01/2023,73.55,99.05,71.32,97.78,20.02M,31.51%
10/01/2023,76.26,77.20,69.27,74.35,18.27M,-2.82%
09/01/2023,84.12,84.12,72.70,76.51,15.01M,-8.48%
08/01/2023,88.98,89.77,77.74,83.6,19.96M,-6.74%
07/01/2023,85.10,93.01,81.47,89.64,16.09M,5.50%
06/01/2023,81.00,86.43,75.58,84.97,24.47M,-1.22%
05/01/2023,85.36,89.70,79.50,86.02,19.34M,0.24%
04/01/2023,89.51,90.65,82.00,85.81,15.68M,-3.76%
03/01/2023,80.30,91.07,69.37,89.16,29.09M,11.12%
02/01/2023,90.02,94.51,78.20,80.24,17.27M,-10.75%
01/01/2023,71.98,90.64,70.78,89.9,19.88M,27.36%
12/01/2022,74.33,77.76,67.36,70.59,24.51M,5.08%
11/01/2022,52.95,67.50,48.40,67.18,21.31M,30.90%
10/01/2022,45.89,53.98,44.78,51.32,22.10M,14.55%
09/01/2022,55.75,62.69,43.49,44.8,46.70M,-20.36%
08/01/2022,61.61,71.35,56.21,56.25,25.01M,-9.16%
07/01/2022,56.49,63.56,54.57,61.92,21.79M,8.82%
06/01/2022,72.37,74.37,55.54,56.9,32.37M,-19.71%
05/01/2022,73.00,75.58,60.35,70.87,38.35M,-2.62%
04/01/2022,77.49,83.40,69.14,72.78,32.45M,-5.00%
03/01/2022,97.32,97.71,66.10,76.61,43.21M,-21.74%
02/01/2022,95.23,105.43,93.65,97.89,20.75M,3.03%
01/01/2022,107.79,113.78,89.54,95.01,26.03M,-10.91%
12/01/2021,110.57,113.69,91.93,106.65,22.83M,-0.12%
11/01/2021,109.81,125.42,104.48,106.78,16.08M,-2.33%
10/01/2021,104.67,114.78,102.60,109.33,16.18M,6.36%
09/01/2021,118.84,121.94,102.58,102.79,23.92M,-1.91%
08/01/2021,105.92,116.69,102.35,104.79,21.63M,0.16%
07/01/2021,108.82,110.65,92.46,104.62,17.93M,-2.76%
06/01/2021,115.75,116.45,101.42,107.59,22.03M,-6.30%
05/01/2021,114.32,121.18,105.44,114.82,15.35M,1.45%
04/01/2021,105.00,116.00,99.57,113.18,23.19M,7.08%
03/01/2021,102.27,110.89,91.49,105.7,22.63M,5.74%
02/01/2021,82.67,104.29,78.76,99.96,19.80M,17.24%
01/01/2021,97.34,108.84,84.41,85.26,19.16M,-9.19%
