Date,Open,High,Low,Price,Vol.,Change %
10/01/2025,268.40,291.40,222.00,230.4,322.71M,-13.64
09/01/2025,318.20,319.40,251.60,266.8,347.00M,-17.25
08/01/2025,245.60,339.80,235.40,322.4,223.73M,31.06
07/01/2025,268.00,272.00,239.80,246.0,243.76M,-7.73
06/01/2025,223.60,283.40,222.20,266.6,368.26M,20.96
05/01/2025,191.10,235.00,176.80,220.4,232.98M,13.73
04/01/2025,156.50,199.00,118.80,193.8,334.94M,23.83
03/01/2025,104.20,160.00,103.90,156.5,249.61M,50.19
02/01/2025,93.15,114.50,91.00,104.2,139.57M,10.85
01/01/2025,89.80,96.00,79.50,94.0,126.05M,4.85
12/01/2024,89.95,96.90,82.35,89.65,129.27M,-0.22
11/01/2024,70.00,92.20,67.50,89.85,170.75M,27.45
10/01/2024,56.95,78.00,52.50,70.5,261.58M,32.39
09/01/2024,46.00,55.00,45.35,53.25,113.76M,16.14
08/01/2024,41.50,48.25,36.50,45.85,150.07M,10.62
07/01/2024,38.25,42.30,34.40,41.45,115.26M,8.37
06/01/2024,37.45,40.85,35.95,38.25,102.74M,3.1
05/01/2024,33.35,38.45,33.25,37.1,151.69M,9.44
04/01/2024,29.20,35.50,28.20,33.9,189.00M,17.91
03/01/2024,19.56,29.20,19.48,28.75,159.31M,46.83
02/01/2024,17.52,20.50,16.90,19.58,59.77M,11.76
01/01/2024,20.00,20.60,16.98,17.52,103.91M,-13.48
12/01/2023,22.85,23.45,18.70,20.25,78.41M,-13.65
11/01/2023,21.55,25.20,21.15,23.45,76.33M,8.82
10/01/2023,23.05,25.00,21.20,21.55,79.63M,-6.91
09/01/2023,25.60,26.60,22.50,23.15,96.21M,-9.22
08/01/2023,21.70,26.90,20.20,25.5,156.51M,16.17
07/01/2023,17.66,23.15,16.68,21.95,147.55M,26.0
06/01/2023,17.20,18.96,16.22,17.42,101.83M,1.28
05/01/2023,19.18,20.30,16.10,17.2,96.62M,-9.19
04/01/2023,21.60,21.75,17.08,18.94,89.18M,-11.5
03/01/2023,22.05,24.55,17.82,21.4,183.41M,-1.83
02/01/2023,25.50,27.40,20.55,21.8,134.10M,-14.0
01/01/2023,19.70,28.00,19.36,25.35,167.07M,27.9
12/01/2022,18.00,22.65,16.60,19.82,254.39M,14.3
11/01/2022,10.30,17.34,10.14,17.34,249.40M,70.67
10/01/2022,14.44,16.72,9.95,10.16,203.95M,-29.64
09/01/2022,20.40,20.85,14.26,14.44,127.09M,-29.39
08/01/2022,17.88,20.80,16.90,20.45,191.69M,13.61
07/01/2022,37.90,38.85,17.56,18.0,319.42M,-52.51
06/01/2022,30.60,39.95,30.50,37.9,172.90M,25.29
05/01/2022,36.20,37.05,27.85,30.25,210.55M,-16.44
04/01/2022,33.40,38.40,30.65,36.2,111.42M,5.23
03/01/2022,39.15,42.35,27.45,34.4,207.80M,-12.13
02/01/2022,39.00,42.80,34.35,39.15,97.03M,1.82
01/01/2022,44.70,49.40,37.10,38.45,137.04M,-13.98
12/01/2021,53.35,55.80,40.85,44.7,89.41M,-17.07
11/01/2021,45.95,61.50,45.30,53.9,208.55M,17.3
10/01/2021,53.25,57.00,45.15,45.95,67.30M,-13.71
09/01/2021,58.75,63.65,51.60,53.25,99.53M,-9.36
08/01/2021,57.20,60.50,50.00,58.75,137.82M,3.25
07/01/2021,77.00,77.25,54.55,56.9,82.27M,-26.1
06/01/2021,69.50,78.15,60.80,77.0,85.96M,10.79
05/01/2021,64.45,70.90,54.60,69.5,47.74M,8.09
04/01/2021,59.35,70.80,56.60,64.3,64.34M,8.34
03/01/2021,93.05,99.90,46.65,59.35,170.84M,-33.98
02/01/2021,73.60,107.60,72.50,89.9,68.90M,21.49
01/01/2021,81.30,88.50,72.80,74.0,92.36M,-9.04
