Date,Open,High,Low,Price,Vol.,Change %
10/01/2025,84.53,87.26,78.42,86.09,160.89M,1.76%
09/01/2025,87.83,89.99,81.20,84.6,194.29M,-4.07%
08/01/2025,88.39,94.85,85.49,88.19,180.58M,-1.09%
07/01/2025,91.54,98.89,88.43,89.16,226.94M,-2.70%
06/01/2025,83.28,95.91,83.19,91.63,179.24M,9.15%
05/01/2025,80.71,87.78,80.20,83.95,235.70M,4.87%
04/01/2025,97.85,99.75,75.50,80.05,297.97M,-18.39%
03/01/2025,116.04,117.46,94.58,98.09,208.24M,-15.30%
02/01/2025,105.72,116.09,105.52,115.81,179.70M,7.55%
01/01/2025,91.55,110.34,91.38,107.68,205.26M,18.01%
12/01/2024,102.00,102.21,86.30,91.25,186.52M,-10.94%
11/01/2024,97.60,103.32,94.78,102.46,147.16M,4.87%
10/01/2024,97.49,99.42,93.69,97.7,167.96M,0.22%
09/01/2024,94.13,99.51,90.18,97.49,198.22M,3.09%
08/01/2024,77.89,98.72,72.72,94.57,446.26M,21.32%
07/01/2024,77.99,81.24,71.55,77.95,280.39M,0.13%
06/01/2024,79.68,83.43,77.61,77.85,217.04M,-2.95%
05/01/2024,75.82,81.02,71.80,80.22,376.78M,-9.35%
04/01/2024,91.82,92.07,84.29,88.49,177.99M,-3.17%
03/01/2024,94.45,94.57,90.06,91.39,152.27M,-3.70%
02/01/2024,93.10,97.99,91.67,94.9,172.42M,2.01%
01/01/2024,95.45,98.36,91.40,93.03,199.11M,-3.10%
12/01/2023,98.50,99.28,94.34,96.01,166.01M,-3.31%
11/01/2023,91.83,107.66,90.55,99.3,186.22M,7.65%
10/01/2023,91.05,95.66,89.21,92.24,127.99M,1.06%
09/01/2023,98.40,98.75,90.21,91.27,113.13M,-6.33%
08/01/2023,101.47,104.46,93.71,97.44,127.10M,-4.07%
07/01/2023,98.73,103.77,95.55,101.57,131.34M,2.53%
06/01/2023,97.59,102.51,96.52,99.06,151.11M,1.45%
05/01/2023,114.25,115.48,96.98,97.64,157.24M,-14.57%
04/01/2023,104.06,114.31,103.07,114.29,96.63M,9.76%
03/01/2023,102.19,105.94,97.19,104.13,132.25M,2.00%
02/01/2023,108.97,110.83,100.82,102.09,123.06M,-6.46%
01/01/2023,100.56,109.76,99.47,109.14,128.34M,10.02%
12/01/2022,102.33,105.54,96.17,99.2,130.72M,-2.94%
11/01/2022,88.06,102.56,82.97,102.2,162.11M,18.03%
10/01/2022,84.75,90.90,82.43,86.59,158.24M,2.77%
09/01/2022,83.70,93.48,81.67,84.26,203.64M,0.23%
08/01/2022,84.19,89.93,82.69,84.07,129.84M,-0.84%
07/01/2022,76.73,84.98,75.73,84.78,118.10M,10.98%
06/01/2022,78.75,81.30,70.35,76.39,181.51M,-2.69%
05/01/2022,75.25,82.87,68.39,78.5,291.83M,5.17%
04/01/2022,91.50,91.89,74.48,74.64,195.08M,-17.95%
03/01/2022,91.49,93.50,78.92,90.97,250.08M,-0.89%
02/01/2022,98.42,99.15,87.25,91.79,161.93M,-6.64%
01/01/2022,116.47,117.80,93.79,98.32,218.71M,-15.94%
12/01/2021,110.96,117.48,106.61,116.97,136.73M,6.69%
11/01/2021,107.22,117.47,107.20,109.64,161.74M,3.37%
10/01/2021,110.89,115.57,104.02,106.07,133.50M,-3.84%
09/01/2021,118.01,120.76,110.31,110.31,116.00M,-6.11%
08/01/2021,122.03,122.98,113.61,117.49,114.46M,-3.24%
07/01/2021,111.95,126.32,111.81,121.43,123.99M,8.60%
06/01/2021,114.56,114.62,109.26,111.81,106.40M,-1.82%
05/01/2021,115.18,116.74,108.88,113.88,113.79M,-0.53%
04/01/2021,110.06,118.98,108.20,114.49,127.02M,4.78%
03/01/2021,108.60,112.34,102.75,109.27,163.16M,1.15%
02/01/2021,96.99,109.48,96.92,108.03,115.47M,11.59%
01/01/2021,107.66,107.75,95.92,96.81,123.90M,-9.51%
