"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2025","146.08","140.49","148.11","138.82","48.72M","4.24%"
"10/01/2025","140.14","144.08","146.46","138.23","102.06M","-3.04%"
"09/01/2025","144.54","136.20","144.83","136.20","99.14M","5.80%"
"08/01/2025","136.61","124.11","145.58","123.78","116.26M","9.70%"
"07/01/2025","124.53","123.67","127.13","119.84","101.11M","0.84%"
"06/01/2025","123.49","126.25","129.07","119.90","105.18M","-2.69%"
"05/01/2025","126.90","127.86","135.85","124.92","123.61M","-1.38%"
"04/01/2025","128.68","121.44","131.30","116.37","145.38M","5.65%"
"03/01/2025","121.80","124.43","125.99","112.10","114.91M","-2.37%"
"02/01/2025","124.76","123.96","127.58","120.67","90.35M","-0.02%"
"01/01/2025","124.79","121.71","126.48","117.89","87.14M","3.29%"
"12/01/2024","120.81","126.39","127.91","120.30","109.71M","-3.88%"
"11/01/2024","125.69","113.31","128.00","111.73","111.80M","11.20%"
"10/01/2024","113.03","117.50","118.56","111.22","102.74M","-3.84%"
"09/01/2024","117.54","117.86","120.75","115.40","86.56M","0.23%"
"08/01/2024","117.27","113.79","121.13","107.71","125.38M","3.76%"
"07/01/2024","113.02","110.66","115.35","109.56","95.75M","2.65%"
"06/01/2024","110.10","103.70","111.79","103.70","115.05M","6.79%"
"05/01/2024","103.10","93.56","104.98","93.39","156.60M","9.58%"
"04/01/2024","94.09","101.05","101.16","92.35","110.75M","-7.23%"
"03/01/2024","101.42","99.38","102.04","95.56","111.36M","2.30%"
"02/01/2024","99.14","94.96","102.84","94.71","104.70M","4.46%"
"01/01/2024","94.91","93.09","97.00","91.31","92.74M","1.17%"
"12/01/2023","93.81","88.31","94.29","87.44","98.62M","6.47%"
"11/01/2023","88.11","88.55","93.25","87.22","138.76M","0.05%"
"10/01/2023","88.07","88.55","91.18","86.71","92.39M","-0.91%"
"09/01/2023","88.88","92.50","93.78","87.46","101.02M","-3.89%"
"08/01/2023","92.48","86.53","92.87","85.27","124.88M","6.88%"
"07/01/2023","86.53","84.41","87.63","82.25","78.33M","2.05%"
"06/01/2023","84.79","76.44","85.22","76.29","104.28M","10.42%"
"05/01/2023","76.79","79.04","81.32","75.65","115.57M","-2.58%"
"04/01/2023","78.82","78.09","79.71","76.23","77.07M","0.59%"
"03/01/2023","78.36","76.11","78.79","72.92","112.62M","2.30%"
"02/01/2023","76.60","81.99","82.77","76.20","112.69M","-6.43%"
"01/01/2023","81.86","79.73","83.13","78.51","107.04M","2.84%"
"12/01/2022","79.60","80.39","81.15","76.77","103.76M","-0.56%"
"11/01/2022","80.05","72.56","81.17","69.93","132.97M","11.03%"
"10/01/2022","72.10","63.03","73.01","61.81","104.68M","16.07%"
"09/01/2022","62.12","62.44","67.80","59.78","102.16M","-0.37%"
"08/01/2022","62.35","60.83","69.77","60.75","126.52M","1.95%"
"07/01/2022","61.16","55.60","64.66","54.55","115.23M","9.51%"
"06/01/2022","55.85","64.36","64.43","55.55","122.39M","-12.14%"
"05/01/2022","63.57","61.68","64.84","53.69","198.13M","3.74%"
"04/01/2022","61.28","60.72","68.29","59.47","131.87M","1.16%"
"03/01/2022","60.58","66.16","67.58","57.92","194.46M","-8.35%"
"02/01/2022","66.10","72.19","73.14","59.85","131.71M","-8.16%"
"01/01/2022","71.97","75.83","77.35","65.85","133.44M","-5.20%"
"12/01/2021","75.92","70.88","76.32","67.97","135.12M","9.39%"
"11/01/2021","69.40","65.53","76.94","65.45","164.53M","5.97%"
"10/01/2021","65.49","66.30","67.06","62.72","131.75M","-0.74%"
"09/01/2021","65.98","73.16","73.39","65.79","132.57M","-9.27%"
"08/01/2021","72.72","69.19","76.16","67.23","138.90M","5.68%"
"07/01/2021","68.81","67.56","69.78","64.43","102.33M","2.06%"
"06/01/2021","67.42","68.26","68.49","63.25","155.19M","-0.18%"
"05/01/2021","67.54","71.49","74.65","66.32","147.33M","-4.87%"
"04/01/2021","71.00","66.94","71.87","65.57","94.46M","7.33%"
"03/01/2021","66.15","66.66","68.05","61.15","174.89M","0.24%"
"02/01/2021","65.99","64.44","71.06","63.40","140.97M","3.04%"
"01/01/2021","64.04","68.30","70.96","62.24","114.67M","-6.22%"
