Date,Open,High,Low,Price,Vol.,Change %
11/01/2025,92.38,93.31,88.48,89.9,61.52M,-3.04%
10/01/2025,89.48,99.49,85.36,92.72,168.11M,3.37%
09/01/2025,95.13,95.36,86.30,89.7,190.25M,-6.54%
08/01/2025,99.52,107.82,94.15,95.98,164.71M,-4.50%
07/01/2025,98.33,108.90,98.32,100.5,113.67M,1.88%
06/01/2025,93.41,102.37,92.06,98.65,129.45M,4.94%
05/01/2025,97.11,103.00,90.60,94.01,171.44M,-2.78%
04/01/2025,104.98,107.08,87.35,96.7,191.74M,-7.34%
03/01/2025,125.27,127.06,100.50,104.36,191.50M,-16.00%
02/01/2025,134.58,137.05,122.36,124.24,112.74M,-9.91%
01/01/2025,135.75,145.08,127.92,137.91,99.78M,2.02%
12/01/2024,130.73,138.11,127.87,135.18,121.69M,2.17%
11/01/2024,151.38,158.42,120.21,132.31,195.04M,-11.82%
10/01/2024,155.25,161.50,147.41,150.04,75.96M,-3.73%
09/01/2024,152.99,157.83,144.67,155.86,73.76M,1.46%
08/01/2024,151.21,167.40,132.42,153.62,117.84M,2.13%
07/01/2024,148.34,156.74,143.40,150.41,71.58M,1.60%
06/01/2024,152.09,154.49,139.38,148.04,81.64M,-5.20%
05/01/2024,160.83,165.65,139.98,156.16,102.42M,-2.99%
04/01/2024,178.77,181.86,160.42,160.98,64.79M,-9.16%
03/01/2024,153.24,177.40,150.09,177.21,101.51M,15.88%
02/01/2024,140.94,153.65,138.50,152.92,66.59M,9.95%
01/01/2024,142.19,144.50,135.67,139.08,72.75M,-2.35%
12/01/2023,133.40,143.37,132.29,142.42,73.28M,6.43%
11/01/2023,111.08,133.96,105.23,133.81,127.63M,20.78%
10/01/2023,110.35,113.18,102.93,110.79,100.50M,0.20%
09/01/2023,127.55,127.70,108.15,110.57,81.70M,-12.63%
08/01/2023,136.33,136.54,120.75,126.55,134.19M,-7.27%
07/01/2023,131.59,138.28,128.55,136.47,83.51M,3.46%
06/01/2023,128.60,138.08,125.08,131.9,156.52M,0.74%
05/01/2023,157.68,162.84,130.63,130.93,115.94M,-17.00%
04/01/2023,166.40,171.24,154.79,157.75,51.11M,-4.76%
03/01/2023,168.16,168.40,152.68,165.63,74.55M,-1.70%
02/01/2023,172.11,181.70,161.87,168.5,62.80M,-2.11%
01/01/2023,149.98,172.22,147.68,172.14,66.23M,15.50%
12/01/2022,166.47,167.43,139.68,149.04,83.37M,-10.79%
11/01/2022,166.44,180.46,148.75,167.07,142.60M,1.72%
10/01/2022,149.67,170.75,145.19,164.25,67.00M,10.69%
09/01/2022,159.29,176.13,145.50,148.39,76.38M,-7.45%
08/01/2022,168.64,183.89,157.18,160.34,98.36M,-1.86%
07/01/2022,140.76,164.04,139.30,163.38,66.67M,15.68%
06/01/2022,161.88,163.16,137.16,141.23,142.81M,-12.76%
05/01/2022,230.15,238.59,145.51,161.88,180.71M,-29.20%
04/01/2022,213.32,254.87,206.19,228.65,73.98M,7.74%
03/01/2022,226.83,229.19,204.95,212.22,96.14M,6.23%
02/01/2022,221.99,222.52,184.00,199.77,78.24M,-9.37%
01/01/2022,231.07,236.32,210.38,220.43,85.09M,-4.76%
12/01/2021,245.68,248.85,214.60,231.44,87.45M,-5.09%
11/01/2021,261.55,268.98,241.21,243.84,82.71M,-6.08%
10/01/2021,229.25,261.51,222.88,259.62,58.01M,13.49%
09/01/2021,247.00,248.53,228.13,228.77,56.73M,-7.37%
08/01/2021,262.08,267.06,244.40,246.98,74.56M,-5.39%
07/01/2021,241.96,263.46,241.13,261.05,54.52M,7.99%
06/01/2021,227.56,243.46,226.05,241.74,65.88M,6.53%
05/01/2021,209.18,228.84,202.76,226.92,80.81M,9.49%
04/01/2021,198.14,210.86,196.36,207.26,54.58M,4.64%
03/01/2021,185.95,201.96,166.82,198.07,113.17M,7.98%
02/01/2021,182.18,196.25,179.68,183.44,54.30M,1.25%
