Date,Open,High,Low,Price,Vol.,Change %
10/01/2025,546.50,572.23,510.14,517.66,9.64M,-5.32
09/01/2025,491.26,554.13,486.25,546.75,15.11M,10.96
08/01/2025,512.67,538.59,492.00,492.73,16.46M,-4.33
07/01/2025,468.42,523.68,467.23,515.01,12.54M,10.09
06/01/2025,465.27,481.34,452.00,467.82,15.63M,-0.77
05/01/2025,394.30,491.98,386.00,471.46,19.34M,19.16
04/01/2025,377.00,396.37,323.36,395.64,20.08M,7.94
03/01/2025,365.19,374.88,309.01,366.54,27.10M,0.05
02/01/2025,404.52,414.62,352.50,366.36,19.26M,-11.11
01/01/2025,434.83,460.00,401.80,412.15,15.75M,-5.24
12/01/2024,385.73,447.67,375.80,434.93,21.78M,12.49
11/01/2024,370.26,395.93,331.74,386.64,18.90M,4.79
10/01/2024,386.17,386.76,352.39,368.98,25.02M,-5.18
09/01/2024,352.00,412.00,350.10,389.12,25.30M,10.28
08/01/2024,364.64,392.61,318.17,352.84,35.10M,-3.3
07/01/2024,385.87,413.88,361.40,364.89,18.10M,-5.44
06/01/2024,394.40,399.81,376.39,385.87,16.23M,-2.33
05/01/2024,403.14,421.21,375.30,395.09,20.91M,-2.41
04/01/2024,520.84,529.67,402.00,404.84,23.10M,-22.57
03/01/2024,548.31,574.76,502.20,522.88,17.16M,-4.68
02/01/2024,506.55,563.17,491.52,548.56,11.47M,9.26
01/01/2024,485.25,511.58,464.81,502.05,12.13M,2.46
12/01/2023,475.20,497.41,465.00,489.99,16.54M,15.02
11/01/2023,379.02,427.80,370.25,425.99,15.28M,11.72
10/01/2023,402.09,406.80,368.02,381.31,17.15M,-4.54
09/01/2023,417.01,420.47,388.45,399.45,13.66M,-3.75
08/01/2023,445.00,467.64,405.80,415.03,20.80M,-6.69
07/01/2023,470.48,487.16,443.06,444.8,13.30M,-5.48
06/01/2023,408.11,472.87,402.00,470.6,21.65M,14.83
05/01/2023,551.72,556.60,403.15,409.83,28.36M,-25.68
04/01/2023,546.62,553.06,517.16,551.43,9.82M,1.06
03/01/2023,516.00,546.47,501.04,545.67,16.91M,5.18
02/01/2023,511.90,537.52,511.25,518.8,9.21M,0.94
01/01/2023,469.66,514.25,466.62,513.96,10.25M,9.57
12/01/2022,470.47,483.80,436.14,469.07,15.46M,0.91
11/01/2022,424.51,466.55,402.77,464.84,13.65M,10.84
10/01/2022,403.00,421.37,373.80,419.37,16.41M,4.53
09/01/2022,419.85,451.30,386.10,401.19,18.16M,-4.45
08/01/2022,388.90,433.88,360.58,419.87,22.89M,7.96
07/01/2022,381.92,416.98,368.64,388.91,13.83M,0.89
06/01/2022,423.68,429.48,378.36,385.48,17.83M,-8.89
05/01/2022,398.61,426.83,330.80,423.1,21.83M,6.63
04/01/2022,399.00,438.63,380.57,396.8,12.55M,-0.36
03/01/2022,372.21,408.73,350.10,398.22,17.51M,6.33
02/01/2022,364.37,383.29,341.47,374.5,12.52M,2.96
01/01/2022,413.70,422.43,336.29,363.74,14.29M,-11.79
12/01/2021,390.09,417.25,362.30,412.34,19.53M,7.39
11/01/2021,369.13,417.85,363.38,383.95,12.05M,4.52
10/01/2021,361.92,410.93,355.00,367.36,18.61M,1.78
09/01/2021,389.52,392.00,360.51,360.92,11.91M,-6.81
08/01/2021,337.50,414.98,335.73,387.31,16.12M,15.34
07/01/2021,346.99,354.65,319.05,335.8,10.94M,-2.88
06/01/2021,346.70,356.31,323.11,345.77,14.62M,0.12
05/01/2021,330.40,351.72,299.77,345.36,17.58M,4.86
04/01/2021,311.43,340.27,307.79,329.35,12.99M,6.53
03/01/2021,326.77,351.00,297.29,309.17,26.69M,-4.08
02/01/2021,282.03,338.26,276.00,322.33,10.63M,15.22
01/01/2021,287.16,310.49,277.85,279.76,13.45M,-2.58
