Date,Open,High,Low,Price,Vol.,Change %
11/01/2025,100.82,103.91,98.93,102.48,154.21M,1.28%
10/01/2025,102.56,109.57,99.87,101.18,348.81M,-1.82%
09/01/2025,97.23,106.11,96.51,103.06,326.99M,6.27%
08/01/2025,98.00,104.72,95.42,96.98,397.88M,-1.02%
07/01/2025,97.60,99.35,94.23,97.98,289.97M,0.20%
06/01/2025,98.84,100.89,93.43,97.78,343.23M,-0.95%
05/01/2025,97.01,99.74,91.89,98.72,393.16M,1.51%
04/01/2025,87.54,97.78,79.81,97.25,509.88M,10.78%
03/01/2025,97.98,99.49,83.87,87.79,529.84M,-10.97%
02/01/2025,96.77,105.30,92.12,98.61,393.52M,0.46%
01/01/2025,89.98,99.00,89.52,98.16,301.85M,8.64%
12/01/2024,92.82,96.18,88.91,90.35,382.13M,-2.32%
11/01/2024,82.53,92.64,81.54,92.5,340.43M,12.87%
10/01/2024,80.68,83.34,78.98,81.95,274.96M,1.49%
09/01/2024,77.33,81.60,76.30,80.75,358.17M,4.56%
08/01/2024,68.91,77.47,66.67,77.23,395.30M,12.51%
07/01/2024,67.89,71.33,67.25,68.64,288.08M,1.37%
06/01/2024,65.51,69.04,65.16,67.71,288.55M,2.97%
05/01/2024,59.31,65.90,58.58,65.76,401.58M,10.80%
04/01/2024,60.31,60.89,58.56,59.35,304.74M,-1.36%
03/01/2024,58.80,61.65,58.20,60.17,339.29M,2.66%
02/01/2024,55.23,60.45,55.06,58.61,523.25M,6.40%
01/01/2024,52.42,55.93,51.87,55.08,385.32M,4.82%
12/01/2023,51.79,52.78,49.85,52.55,543.92M,1.26%
11/01/2023,54.74,56.65,51.38,51.9,536.59M,-4.72%
10/01/2023,53.16,54.78,50.55,54.47,344.01M,2.18%
09/01/2023,54.29,55.28,53.06,53.31,331.24M,-1.65%
08/01/2023,53.32,54.33,51.67,54.2,391.68M,1.72%
07/01/2023,52.27,53.65,51.15,53.29,272.20M,1.71%
06/01/2023,48.74,52.74,48.65,52.39,391.86M,7.02%
05/01/2023,50.35,51.45,48.34,48.96,406.48M,-2.72%
04/01/2023,49.24,51.25,49.01,50.32,301.90M,2.39%
03/01/2023,47.02,49.48,45.36,49.15,524.66M,3.74%
02/01/2023,47.89,49.45,46.23,47.38,368.56M,-1.21%
01/01/2023,47.52,49.29,46.06,47.96,324.06M,1.47%
12/01/2022,50.68,51.20,46.94,47.26,382.14M,-6.97%
11/01/2022,47.66,51.55,46.09,50.81,455.00M,7.09%
10/01/2022,43.41,47.69,42.69,47.44,350.70M,9.74%
09/01/2022,44.18,46.08,42.76,43.23,416.34M,-2.15%
08/01/2022,43.69,47.57,41.71,44.18,623.69M,0.38%
07/01/2022,40.65,44.46,40.02,44.02,472.94M,8.61%
06/01/2022,42.83,42.97,39.30,40.53,512.79M,-5.48%
05/01/2022,51.65,51.66,39.09,42.88,816.44M,-15.92%
04/01/2022,49.89,53.59,49.61,51.0,427.23M,2.73%
03/01/2022,45.29,50.18,45.01,49.64,557.66M,10.18%
02/01/2022,46.40,47.33,44.00,45.05,487.79M,-3.33%
01/01/2022,48.00,48.88,44.65,46.6,497.27M,-3.37%
12/01/2021,46.84,48.84,45.08,48.23,716.46M,2.89%
11/01/2021,49.99,50.67,46.67,46.88,534.33M,-5.88%
10/01/2021,46.42,50.18,44.90,49.81,414.01M,7.20%
09/01/2021,49.19,49.88,46.42,46.46,453.80M,-5.89%
08/01/2021,47.61,50.86,47.22,49.37,544.34M,3.89%
07/01/2021,46.80,47.95,46.07,47.52,395.66M,1.08%
06/01/2021,47.40,47.60,44.80,47.01,507.32M,-0.71%
05/01/2021,46.56,48.19,45.25,47.34,524.34M,1.52%
04/01/2021,45.31,47.26,45.11,46.64,459.38M,3.00%
03/01/2021,43.86,45.86,42.09,45.28,739.67M,4.55%
02/01/2021,46.97,49.17,43.29,43.31,555.46M,-7.52%
01/01/2021,48.10,49.98,46.78,46.83,450.60M,-2.54%
