"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2025","89.90","92.38","93.31","88.48","61.52M","-3.04%"
"10/01/2025","92.72","89.48","99.49","85.36","168.11M","3.37%"
"09/01/2025","89.70","95.13","95.36","86.30","190.25M","-6.54%"
"08/01/2025","95.98","99.52","107.82","94.15","164.71M","-4.50%"
"07/01/2025","100.50","98.33","108.90","98.32","113.67M","1.88%"
"06/01/2025","98.65","93.41","102.37","92.06","129.45M","4.94%"
"05/01/2025","94.01","97.11","103.00","90.60","171.44M","-2.78%"
"04/01/2025","96.70","104.98","107.08","87.35","191.74M","-7.34%"
"03/01/2025","104.36","125.27","127.06","100.50","191.50M","-16.00%"
"02/01/2025","124.24","134.58","137.05","122.36","112.74M","-9.91%"
"01/01/2025","137.91","135.75","145.08","127.92","99.78M","2.02%"
"12/01/2024","135.18","130.73","138.11","127.87","121.69M","2.17%"
"11/01/2024","132.31","151.38","158.42","120.21","195.04M","-11.82%"
"10/01/2024","150.04","155.25","161.50","147.41","75.96M","-3.73%"
"09/01/2024","155.86","152.99","157.83","144.67","73.76M","1.46%"
"08/01/2024","153.62","151.21","167.40","132.42","117.84M","2.13%"
"07/01/2024","150.41","148.34","156.74","143.40","71.58M","1.60%"
"06/01/2024","148.04","152.09","154.49","139.38","81.64M","-5.20%"
"05/01/2024","156.16","160.83","165.65","139.98","102.42M","-2.99%"
"04/01/2024","160.98","178.77","181.86","160.42","64.79M","-9.16%"
"03/01/2024","177.21","153.24","177.40","150.09","101.51M","15.88%"
"02/01/2024","152.92","140.94","153.65","138.50","66.59M","9.95%"
"01/01/2024","139.08","142.19","144.50","135.67","72.75M","-2.35%"
"12/01/2023","142.42","133.40","143.37","132.29","73.28M","6.43%"
"11/01/2023","133.81","111.08","133.96","105.23","127.63M","20.78%"
"10/01/2023","110.79","110.35","113.18","102.93","100.50M","0.20%"
"09/01/2023","110.57","127.55","127.70","108.15","81.70M","-12.63%"
"08/01/2023","126.55","136.33","136.54","120.75","134.19M","-7.27%"
"07/01/2023","136.47","131.59","138.28","128.55","83.51M","3.46%"
"06/01/2023","131.90","128.60","138.08","125.08","156.52M","0.74%"
"05/01/2023","130.93","157.68","162.84","130.63","115.94M","-17.00%"
"04/01/2023","157.75","166.40","171.24","154.79","51.11M","-4.76%"
"03/01/2023","165.63","168.16","168.40","152.68","74.55M","-1.70%"
"02/01/2023","168.50","172.11","181.70","161.87","62.80M","-2.11%"
"01/01/2023","172.14","149.98","172.22","147.68","66.23M","15.50%"
"12/01/2022","149.04","166.47","167.43","139.68","83.37M","-10.79%"
"11/01/2022","167.07","166.44","180.46","148.75","142.60M","1.72%"
"10/01/2022","164.25","149.67","170.75","145.19","67.00M","10.69%"
"09/01/2022","148.39","159.29","176.13","145.50","76.38M","-7.45%"
"08/01/2022","160.34","168.64","183.89","157.18","98.36M","-1.86%"
"07/01/2022","163.38","140.76","164.04","139.30","66.67M","15.68%"
"06/01/2022","141.23","161.88","163.16","137.16","142.81M","-12.76%"
"05/01/2022","161.88","230.15","238.59","145.51","180.71M","-29.20%"
"04/01/2022","228.65","213.32","254.87","206.19","73.98M","7.74%"
"03/01/2022","212.22","226.83","229.19","204.95","96.14M","6.23%"
"02/01/2022","199.77","221.99","222.52","184.00","78.24M","-9.37%"
"01/01/2022","220.43","231.07","236.32","210.38","85.09M","-4.76%"
"12/01/2021","231.44","245.68","248.85","214.60","87.45M","-5.09%"
"11/01/2021","243.84","261.55","268.98","241.21","82.71M","-6.08%"
"10/01/2021","259.62","229.25","261.51","222.88","58.01M","13.49%"
"09/01/2021","228.77","247.00","248.53","228.13","56.73M","-7.37%"
"08/01/2021","246.98","262.08","267.06","244.40","74.56M","-5.39%"
"07/01/2021","261.05","241.96","263.46","241.13","54.52M","7.99%"
"06/01/2021","241.74","227.56","243.46","226.05","65.88M","6.53%"
"05/01/2021","226.92","209.18","228.84","202.76","80.81M","9.49%"
"04/01/2021","207.26","198.14","210.86","196.36","54.58M","4.64%"
"03/01/2021","198.07","185.95","201.96","166.82","113.17M","7.98%"
"02/01/2021","183.44","182.18","196.25","179.68","54.30M","1.25%"
